company_name,profile_url,overall_rating,total_reviews,industry,description,scraped_at,rating_job_security,rating_work_life_balance,rating_salary,rating_work_satisfaction,rating_promotions,rating_skill_development,rating_company_culture,rating_management
Yes Bank,https://www.ambitionbox.com/overview/yes-bank-overview,3.7,10200,Banking(Financial Services) | Banking / Insurance / Accounting | Financial Services | Banking sector,"Get an inside look of Yes Bank — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:15,3.6,3.4,3.3,3.3,N/A,3.4,3.4,N/A
Tata Steel,https://www.ambitionbox.com/overview/tata-steel-overview,4.0,9900,Iron & Steel | Manufacturing | Metals & Mining | Power | TopIron & SteelCompanies in India,"Get an inside look of Tata Steel — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:18,4.0,3.9,4.0,3.5,N/A,3.8,3.9,N/A
Quess,https://www.ambitionbox.com/overview/quess-overview,3.8,9800,Recruitment | Recruitment sector,"Get an inside look of Quess — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:23,3.7,3.6,3.4,3.4,N/A,3.5,3.5,3.6
Asian Paints,https://www.ambitionbox.com/overview/asian-paints-overview,9.6,9600,Chemicals sector,"Get an inside look of Asian Paints — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:28,5.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
Maruti Suzuki,https://www.ambitionbox.com/overview/maruti-suzuki-overview,4.1,9500,Automobile | Manufacturing | TopAutomobileCompanies in India | Automobile sector,"Get an inside look of Maruti Suzuki — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:30,3.9,3.9,4.2,3.8,N/A,3.9,3.9,N/A
Startek,https://www.ambitionbox.com/overview/startek-overview,3.0,9500,BPO | BPO/KPO | IT Services & Consulting | BPO sector,"Get an inside look of Startek — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:34,2.9,2.9,2.9,2.5,N/A,2.8,2.9,N/A
UltraTech Cement,https://www.ambitionbox.com/overview/ultratech-cement-overview,4.2,9500,Building Material | Power | Engineering & Construction | TopBuilding MaterialCompanies in India | Building Material sector,"Get an inside look of UltraTech Cement — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:40,3.8,3.8,4.2,3.5,N/A,3.9,3.9,N/A
Paytm,https://www.ambitionbox.com/overview/paytm-overview,9.3,9300,FinTech sector,"Get an inside look of Paytm — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:44,5.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
Bajaj Finance,https://www.ambitionbox.com/overview/bajaj-finance-overview,3.9,9200,NBFC(Financial Services) | Financial Services | TopNBFCCompanies in India | NBFC sector,"Get an inside look of Bajaj Finance — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:48,3.5,3.0,3.8,3.5,3.6,3.8,3.5,N/A
Shriram Finance,https://www.ambitionbox.com/overview/shriram-finance-overview,3.9,9100,NBFC(Financial Services) | Financial Services | TopNBFCCompanies in India | NBFC sector,"Get an inside look of Shriram Finance — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:52,3.8,3.7,3.9,3.5,5.0,3.7,3.8,N/A
Sutherland Global Services,https://www.ambitionbox.com/overview/sutherland-global-services-overview,9,9000,BPO sector,"Get an inside look of Sutherland Global Services — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:57,4.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
Equitas Small Finance Bank,https://www.ambitionbox.com/overview/equitas-small-finance-bank-overview,8.9,8900,Banking sector,"Get an inside look of Equitas Small Finance Bank — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:01,4.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
Wells Fargo,https://www.ambitionbox.com/overview/wells-fargo-overview,8.7,8700,Financial Services sector,"Get an inside look of Wells Fargo — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:05,5.0,N/A,5.0,N/A,4.0,N/A,5.0,N/A
EXL Service,https://www.ambitionbox.com/overview/exl-service-overview,8.6,8600,Analytics & KPO sector,"Get an inside look of EXL Service — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:08,5.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
Cipla,https://www.ambitionbox.com/overview/cipla-overview,4.1,8600,Pharma(Healthcare) | Manufacturing | TopPharmaCompanies in India | Pharma sector,"Get an inside look of Cipla — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:12,3.9,3.9,3.7,3.5,N/A,3.8,3.7,N/A
Ericsson,https://www.ambitionbox.com/overview/ericsson-overview,8.4,8400,Telecom sector,"Get an inside look of Ericsson — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:17,4.0,N/A,5.0,N/A,4.0,N/A,4.0,N/A
Samsung,https://www.ambitionbox.com/overview/samsung-overview,3.9,8300,Consumer Electronics & Appliances | Consumer goods | Manufacturing | Electronics | TopConsumer Electronics & AppliancesCompanies in India,"Get an inside look of Samsung — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:22,3.7,3.6,3.6,3.2,3.0,3.6,3.6,N/A
Dr. Reddy's,https://www.ambitionbox.com/overview/dr-dot-reddys-overview,4.0,8200,Pharma(Healthcare) | Clinical Research | Pharma sector,"Get an inside look of Dr. Reddy's — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:28,3.9,3.9,3.5,3.5,5.0,3.7,3.9,1.0
Optum Global Solutions,https://www.ambitionbox.com/overview/optum-global-solutions-overview,4.0,8000,IT Services & Consulting | Hardware & Networking | Healthcare | Software Product(Internet) | IT Services & Consulting sector,"Get an inside look of Optum Global Solutions — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:33,4.1,4.0,4.2,3.7,N/A,3.5,3.8,N/A
JSW Steel,https://www.ambitionbox.com/overview/jsw-steel-overview,3.9,7900,Iron & Steel | Financial Services | Metals & Mining | Engineering & Construction | TopIron & SteelCompanies in India,"Get an inside look of JSW Steel — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:37,3.6,3.6,4.1,3.2,N/A,3.6,3.6,N/A
JPMorgan Chase & Co.,https://www.ambitionbox.com/overview/jpmorgan-chase-and-co-dot-overview,3.8,7900,Financial Services | Financial Services sector,"Get an inside look of JPMorgan Chase & Co. — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:41,3.6,3.7,3.9,3.1,N/A,3.6,3.7,N/A
Delhivery,https://www.ambitionbox.com/overview/delhivery-overview,3.8,7800,Logistics | Internet | Logistics / Shipping | Urban Transport | Ports & Shipping,"Get an inside look of Delhivery — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:46,3.5,3.5,3.6,3.2,N/A,3.6,3.5,N/A
ICICI Prudential Life Insurance,https://www.ambitionbox.com/overview/icici-prudential-life-insurance-overview,3.9,7800,Insurance(Financial Services) | Financial Services | Insurance sector,"Get an inside look of ICICI Prudential Life Insurance — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:29:49,3.7,3.6,3.9,3.5,N/A,3.7,3.7,N/A
