company_name,profile_url,overall_rating,total_reviews,industry,description,scraped_at,rating_job_security,rating_work_life_balance,rating_salary,rating_work_satisfaction,rating_promotions,rating_skill_development,rating_company_culture,rating_management
Bajaj Life Insurance,https://www.ambitionbox.com/overview/bajaj-life-overview,3.8,6600,Insurance(Financial Services) | Financial Services | Insurance sector,"Get an inside look of Bajaj Life Insurance — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:30:59,3.7,3.6,3.7,N/A,3.5,3.5,3.6,N/A
Cholamandalam Investment & Finance,https://www.ambitionbox.com/overview/cholamandalam-investment-and-finance-overview,3.8,6600,Financial Services | Financial Services sector,"Get an inside look of Cholamandalam Investment & Finance — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:04,3.5,3.5,3.6,3.4,N/A,3.5,3.6,N/A
L&T Technology Services,https://www.ambitionbox.com/overview/l-and-t-technology-services-overview,3.1,6600,IT Services & Consulting | Engineering & Construction | IT Services & Consulting sector,"Get an inside look of L&T Technology Services — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:08,3.2,3.1,3.1,2.6,N/A,2.8,3.0,N/A
FIS,https://www.ambitionbox.com/overview/fis-overview,6.6,6600,FinTech sector,"Get an inside look of FIS — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:12,5.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
Oracle,https://www.ambitionbox.com/overview/oracle-overview,3.4,6500,Software Product(Internet) | Financial Services | Internet | IT Services & Consulting | Software Product sector,"Get an inside look of Oracle — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:17,3.8,3.4,3.2,3.0,4.0,3.1,3.2,N/A
Omega Healthcare,https://www.ambitionbox.com/overview/omega-healthcare-overview,3.8,6500,BPO | BPO sector,"Get an inside look of Omega Healthcare — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:22,3.6,3.6,3.7,3.4,N/A,3.5,3.6,N/A
JLL,https://www.ambitionbox.com/overview/jll-overview,4.1,6400,Real Estate | Engineering & Construction | Real Estate sector,"Get an inside look of JLL — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:26,4.0,4.0,4.1,3.4,N/A,3.8,4.0,3.8
Muthoot Finance,https://www.ambitionbox.com/overview/muthoot-finance-overview,6.4,6400,NBFC sector,"Get an inside look of Muthoot Finance — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:31,5.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
IIFL Finance,https://www.ambitionbox.com/overview/iifl-finance-overview,4.0,6400,NBFC(Financial Services) | FinTech(Digital Lending) | TopNBFCCompanies in India | NBFC sector,"Get an inside look of IIFL Finance — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:35,3.9,3.8,3.7,3.5,N/A,3.7,3.8,N/A
eClerx,https://www.ambitionbox.com/overview/eclerx-overview,3.1,6300,IT Services & Consulting | IT Services & Consulting sector,"Get an inside look of eClerx — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:40,3.0,3.0,3.4,2.6,N/A,2.9,2.8,N/A
Indian Army,https://www.ambitionbox.com/overview/indian-army-overview,4.7,6200,Defence & Aerospace | Government | Defence & Aerospace sector,"Get an inside look of Indian Army — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:46,4.6,4.6,4.7,4.4,N/A,4.6,4.6,N/A
Piramal Finance,https://www.ambitionbox.com/overview/piramal-finance-overview,4.2,6200,NBFC(Financial Services) | Financial Services | TopNBFCCompanies in India | NBFC sector,"Get an inside look of Piramal Finance — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:50,4.1,4.1,4.0,3.7,N/A,4.0,4.1,N/A
Virtusa Consulting Services,https://www.ambitionbox.com/overview/virtusa-consulting-services-overview,3.7,6100,IT Services & Consulting | IT Services & Consulting sector,"Get an inside look of Virtusa Consulting Services — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:31:56,3.7,3.6,3.4,3.0,N/A,3.5,3.4,N/A
DMart,https://www.ambitionbox.com/overview/dmart-overview,3.9,6100,Retail | TopRetailCompanies in India | Retail sector,"Get an inside look of DMart — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:32:01,3.7,3.7,4.2,3.4,N/A,3.6,3.7,N/A
PolicyBazaar,https://www.ambitionbox.com/overview/policybazaar-overview,6.1,6100,Internet sector,"Get an inside look of PolicyBazaar — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:32:06,5.0,N/A,5.0,N/A,3.0,N/A,5.0,N/A
